id,employee_id,departament,performance_score,years_with_company,salary
1,1,Pippa Pheazey,72,1,39
2,2,Haywood Howship,76,2,47
3,3,Sherwin Rigardeau,55,3,96
4,4,Malina Trollope,64,4,53
5,5,Delmor Healing,8,5,64
6,6,Dalila O'Keenan,5,6,7
7,7,Kristina Spinley,73,7,4
8,8,Rodi Langeren,29,8,70
9,9,Mathilda Pfeifer,44,9,65
10,10,Kory Aguirrezabal,38,10,68
11,11,Viviene Yter,66,11,92
12,12,Ethelin Brocking,68,12,5
13,13,Konstantine Ives,25,13,63
14,14,Christoforo Cannavan,32,14,65
15,15,Tadeo Schermick,38,15,87
16,16,Mirna Fundell,11,16,64
17,17,Emyle Gaskins,81,17,53
18,18,Catlaina Kimble,33,18,63
19,19,Walsh Pow,56,19,39
20,20,Ingelbert Polson,21,20,33
21,21,Leone Ninnis,21,21,74
22,22,Dorise Suche,48,22,21
23,23,Sarajane Bruni,99,23,73
24,24,Gilly Whaplington,42,24,52
25,25,Veronica Manicomb,4,25,54
26,26,Erinna Eagger,67,26,86
27,27,Batholomew Hixson,15,27,47
28,28,Casar Wyatt,97,28,22
29,29,Belva Leiden,16,29,39
30,30,Alethea Brockbank,95,30,4
31,31,Conney Maunton,100,31,12
32,32,Bale Hestrop,99,32,55
33,33,Gustaf Kunzler,56,33,81
34,34,Tamar Tetlow,62,34,30
35,35,Dario Wheble,26,35,31
36,36,Bobbe Winspire,59,36,44
37,37,Shayla Morgans,16,37,77
38,38,Nathalia Broader,82,38,66
39,39,Kain Wearing,17,39,60
40,40,Betsy Vivers,38,40,48
41,41,Lemuel Gilders,69,41,1
42,42,Bernardo Makepeace,33,42,93
43,43,Boot Newsham,95,43,97
44,44,Cammi Wadsworth,95,44,92
45,45,Jere Labrom,25,45,78
46,46,Georgianna Mayze,6,46,3
47,47,Elsbeth Hurtic,65,47,80
48,48,Wash Casbolt,61,48,97
49,49,Nadia Burtwistle,90,49,90
50,50,De witt Yuryev,44,50,7
51,51,Hanan Disley,60,51,62
52,52,Aloisia Ibbett,13,52,92
53,53,Ada Barabisch,25,53,49
54,54,Claus Scroggs,1,54,96
55,55,Nata Hutable,26,55,45
56,56,Elicia Spinige,31,56,41
57,57,Benjie Eltringham,35,57,79
58,58,Cristabel Nielson,46,58,49
59,59,Barn Connechy,91,59,1
60,60,Ignazio Sainter,82,60,65
61,61,Lemmie Counter,67,61,6
62,62,Armstrong Stickels,100,62,23
63,63,Dareen Cavy,61,63,7
64,64,Theresita Adanez,10,64,60
65,65,Suki Palmer,74,65,76
66,66,Dorolice Healing,7,66,36
67,67,Sholom Lebarree,60,67,13
68,68,Murvyn Sawart,57,68,25
69,69,Alvina Ravenhills,59,69,61
70,70,Anthia Riall,90,70,91
71,71,Gustavo Cozens,5,71,79
72,72,Giffer Hallgarth,6,72,84
73,73,Kincaid Doggett,24,73,83
74,74,Wynne Bethell,10,74,19
75,75,Regina McCaughran,75,75,80
76,76,Vanny Heatlie,8,76,43
77,77,Tony Ascrofte,63,77,21
78,78,Lem Aguilar,53,78,64
79,79,Scott Duffin,15,79,25
80,80,Herminia Fishburn,53,80,68
81,81,Kary Syphus,59,81,43
82,82,Mariann Shead,96,82,52
83,83,Netti Feehan,97,83,39
84,84,Ernesto Weston,77,84,76
85,85,Marigold Gosnoll,45,85,4
86,86,Neils Bedborough,4,86,14
87,87,Steffi McGahey,33,87,25
88,88,Em Jerrams,75,88,5
89,89,Marci Leschelle,29,89,58
90,90,Sapphire Warden,97,90,15
91,91,Leanna Titterington,70,91,58
92,92,Bill Badgers,31,92,76
